id_municipio,nome_municipio,sigla_uf,nome_regiao,gap_meta_2024,alunos_no_teste,soma_proba,soma_peso,prob_media_alfabetizacao
1504505,Melgaço,PA,Norte,-6.48,57,20.189204156721654,80.16999936103821,0.2518299154001665
2901155,América Dourada,BA,Nordeste,-6.97,36,9.084550785020287,36.0,0.2523486329172302
2906501,Candeias,BA,Nordeste,-6.94,82,20.750765065526412,82.0,0.25305811055520017
2914901,Itacaré,BA,Nordeste,-6.96,31,7.8504899679246885,31.0,0.25324161186853833
2914000,Ipirá,BA,Nordeste,-7.09,56,14.193246463423968,56.0,0.2534508297039994
2919207,Lauro de Freitas,BA,Nordeste,-7.11,178,45.19409347254997,178.0,0.2538994015311796
2804805,Nossa Senhora do Socorro,SE,Nordeste,-3.69,271,78.07324620249108,307.46999979019165,0.2539215086212181
4304663,Capão do Leão,RS,Sul,-4.1433334,37,12.390228953918028,48.599162340164185,0.2549473768126714
2922656,Nordestina,BA,Nordeste,-7.03,30,7.684700265995213,30.0,0.2561566755331738
2904902,Cachoeira,BA,Nordeste,-7.22,34,8.710101519440357,34.0,0.25617945645412815
2906303,Canavieiras,BA,Nordeste,-7.14,39,10.034518045702011,39.0,0.2572953345051798
2912202,Ibicoara,BA,Nordeste,-7.18,31,8.016011184285976,31.0,0.2585810059447089
2916401,Itapetinga,BA,Nordeste,-6.31,83,21.462277695440964,83.0,0.25858165898121643
2931509,Teofilândia,BA,Nordeste,-7.17,32,8.28413452794415,32.0,0.2588792039982547
2923209,Oliveira dos Brejinhos,BA,Nordeste,-6.47,33,8.607605661367115,33.0,0.26083653519294286
2925501,Prado,BA,Nordeste,4.9466667,55,14.392693909179156,55.0,0.26168534380325736
2905909,Campo Alegre de Lourdes,BA,Nordeste,-6.61,31,8.147704960817792,31.0,0.2628291922844449
2923100,Olindina,BA,Nordeste,-6.8,33,8.68017884206848,33.0,0.26303572248692364
2924603,Pindobaçu,BA,Nordeste,-6.83,37,9.753508822187266,37.0,0.2636083465456018
2910727,Eunápolis,BA,Nordeste,-6.79,101,26.645473104103527,101.0,0.26381656538716364
2905602,Camacan,BA,Nordeste,-6.84,31,8.200394795776457,31.0,0.2645288643798857
2927200,Ruy Barbosa,BA,Nordeste,-6.46,39,10.376755197019756,39.0,0.26607064607742964
2914802,Itabuna,BA,Nordeste,-7.01,125,33.2953727433192,125.0,0.2663629819465536
2905701,Camaçari,BA,Nordeste,-6.88,426,113.8725234806326,426.0,0.26730639314702487
2930774,Sobradinho,BA,Nordeste,-7.21,35,9.356760151653102,35.0,0.2673360043329458
2927705,Santa Cruz Cabrália,BA,Nordeste,-6.22,48,12.868802143509987,48.0,0.26810004465645804
2414407,Touros,RN,Nordeste,-6.3566666,48,16.672573382320337,62.09999990463257,0.2684794429617477
2922300,Muritiba,BA,Nordeste,-7.21,35,9.404894043031238,35.0,0.26871125837232107
5003306,Coxim,MS,Centro-Oeste,-6.3,75,22.000126089905137,81.82999980449677,0.26885159651065005
2805406,Poço Redondo,SE,Nordeste,-9.886666,49,15.305916348654364,56.6800000667572,0.2700408668071135
1508209,Vigia,PA,Norte,-7.1,63,20.191605440362398,74.38000011444092,0.27146552042613115
2905404,Cairu,BA,Nordeste,-6.59,41,11.174040659096116,41.0,0.2725375770511248
1303908,São Paulo de Olivença,AM,Norte,4.2366667,121,34.9381366602926,128.03999984264374,0.2728689214560312
