ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,meta_alfabetizacao_2026,meta_alfabetizacao_2027,meta_alfabetizacao_2028,meta_alfabetizacao_2029,meta_alfabetizacao_2030,nivel_alfabetizacao,percentual_participacao
2023,2400604,Municipal,11.1,17.02,25.17,35.57,47.53,59.77,70.91,80,0,90
2024,2400604,Municipal,21.43,17.02,25.17,35.57,47.53,59.77,70.91,80,0,100
2024,2805901,Municipal,31.48,17.27,25.46,35.84,47.75,59.92,70.98,80,0,98.92
2023,2805901,Municipal,11.3,17.27,25.46,35.84,47.75,59.92,70.98,80,0,94.64
2024,1703073,Municipal,18.26,18,26.26,36.62,48.38,60.32,71.15,80,0,94.74
2023,1703073,Municipal,11.9,18,26.26,36.62,48.38,60.32,71.15,80,0,87.36
2023,1707702,Municipal,12,18.04,26.3,36.65,48.41,60.34,71.16,80,0,91.21
2024,1707702,Municipal,12.63,18.04,26.3,36.65,48.41,60.34,71.16,80,0,84.62
2024,2514602,Municipal,29.62,18.06,26.33,36.68,48.43,60.35,71.16,80,0,91.18
2023,2514602,Municipal,12,18.06,26.33,36.68,48.43,60.35,71.16,80,0,90
2024,1709005,Municipal,38.49,18.74,27.07,37.38,48.99,60.71,71.32,80,0,77.44
2023,1709005,Municipal,12.5,18.74,27.07,37.38,48.99,60.71,71.32,80,0,88.07
2024,5004809,Municipal,41.76,18.91,27.25,37.56,49.13,60.8,71.35,80,1,86.92
2023,5004809,Municipal,12.7,18.91,27.25,37.56,49.13,60.8,71.35,80,0,81.61
2023,2205599,Municipal,12.7,18.93,27.27,37.58,49.15,60.81,71.36,80,0,93.94
2024,2205599,Municipal,62.96,18.93,27.27,37.58,49.15,60.81,71.36,80,3,96.43
2024,2101939,Municipal,87.88,19.1,27.45,37.75,49.28,60.9,71.4,80,5,100
2023,2101939,Municipal,12.8,19.1,27.45,37.75,49.28,60.9,71.4,80,0,96.55
2023,2111250,Municipal,12.9,19.22,27.58,37.87,49.38,60.96,71.42,80,0,98.44
2024,2111250,Municipal,56.16,19.22,27.58,37.87,49.38,60.96,71.42,80,2,100
2023,1301506,Municipal,,,27.7,37.99,49.47,61.02,71.45,80,,
2024,1301506,Municipal,19.3,,27.7,37.99,49.47,61.02,71.45,80,0,74.59
2024,2506608,Municipal,58.62,19.37,27.74,38.02,49.5,61.04,71.45,80,2,100
2023,2506608,Municipal,13.1,19.37,27.74,38.02,49.5,61.04,71.45,80,0,97.87
2024,2907202,Municipal,20.93,19.44,27.82,38.09,49.56,61.07,71.47,80,0,87.76
2023,2907202,Municipal,13.1,19.44,27.82,38.09,49.56,61.07,71.47,80,0,86.93
2023,1200328,Municipal,,,28.13,38.39,49.79,61.22,71.53,80,,
2024,1200328,Municipal,19.59,,28.13,38.39,49.79,61.22,71.53,80,0,93.88
2023,2513158,Municipal,13.4,19.74,28.13,38.39,49.79,61.22,71.53,80,0,87.36
2024,2513158,Municipal,48.11,19.74,28.13,38.39,49.79,61.22,71.53,80,1,91.53
2023,1304260,Municipal,13.4,19.75,28.14,38.4,49.8,61.23,71.54,80,0,80
2024,1304260,Municipal,11.25,19.75,28.14,38.4,49.8,61.23,71.54,80,0,83.72
2024,2202307,Municipal,36.45,20.06,28.48,38.71,50.05,61.38,71.6,80,0,95.71
2023,2202307,Municipal,13.7,20.06,28.48,38.71,50.05,61.38,71.6,80,0,93.96
2024,2404705,Municipal,43.03,20.1,28.51,38.75,50.08,61.4,71.61,80,1,82.09
2023,2404705,Municipal,13.7,20.1,28.51,38.75,50.08,61.4,71.61,80,0,84.67
2023,2208601,Municipal,14.3,20.78,29.23,39.41,50.6,61.73,71.75,80,0,94.23
2024,2208601,Municipal,47.93,20.78,29.23,39.41,50.6,61.73,71.75,80,1,98.04
2024,5214804,Municipal,84.21,20.79,29.25,39.42,50.61,61.74,71.75,80,5,100
2023,5214804,Municipal,14.3,20.79,29.25,39.42,50.61,61.74,71.75,80,0,95.45
2024,2515807,Municipal,85.71,21.09,29.56,39.71,50.84,61.88,71.82,80,5,100
2023,2515807,Municipal,14.6,21.09,29.56,39.71,50.84,61.88,71.82,80,0,85.45
2023,3125309,Municipal,14.7,21.31,29.78,39.92,51,61.98,71.86,80,0,84.38
2024,3125309,Municipal,69.23,21.31,29.78,39.92,51,61.98,71.86,80,3,76.47
2024,2805109,Municipal,11.52,21.39,29.87,40,51.06,62.02,71.88,80,0,95.38
2023,2805109,Municipal,14.8,21.39,29.87,40,51.06,62.02,71.88,80,0,88.52
2024,2408953,Municipal,31.56,21.44,29.91,40.04,51.09,62.04,71.89,80,0,70.97
2023,2408953,Municipal,14.9,21.44,29.91,40.04,51.09,62.04,71.89,80,0,76.81
2024,2401602,Municipal,29.29,21.48,29.96,40.08,51.13,62.06,71.89,80,0,82.09
2023,2401602,Municipal,14.9,21.48,29.96,40.08,51.13,62.06,71.89,80,0,75
2023,2916302,Municipal,15,21.57,30.06,40.17,51.19,62.1,71.91,80,0,82.65
2024,2916302,Municipal,23.44,21.57,30.06,40.17,51.19,62.1,71.91,80,0,82.05
2023,2929800,Municipal,15,21.63,30.12,40.22,51.24,62.13,71.92,80,0,82.18
2024,2929800,Municipal,20.73,21.63,30.12,40.22,51.24,62.13,71.92,80,0,94.25
2023,1300839,Municipal,,,30.23,40.33,51.32,62.18,71.95,80,,
2024,1300839,Municipal,21.72,,30.23,40.33,51.32,62.18,71.95,80,0,89.87
2024,2911006,Municipal,41.03,21.74,30.23,40.33,51.32,62.18,71.95,80,1,98.73
2023,2911006,Municipal,15.1,21.74,30.23,40.33,51.32,62.18,71.95,80,0,87.84
2024,2405405,Municipal,31.34,21.97,30.47,40.54,51.49,62.29,71.99,80,0,92.11
2023,2405405,Municipal,15.3,21.97,30.47,40.54,51.49,62.29,71.99,80,0,87.88
2023,2929701,Municipal,15.4,22.02,30.51,40.59,51.52,62.31,72,80,0,84.26
2024,2929701,Municipal,30.68,22.02,30.51,40.59,51.52,62.31,72,80,0,91.67
2023,1703867,Municipal,15.8,22.48,30.99,41.02,51.85,62.52,72.09,80,0,82.26
2024,1703867,Municipal,52.01,22.48,30.99,41.02,51.85,62.52,72.09,80,2,89.06
2023,1700400,Municipal,15.9,22.65,31.16,41.17,51.97,62.59,72.12,80,0,86.87
2024,1700400,Municipal,48.18,22.65,31.16,41.17,51.97,62.59,72.12,80,1,96.18
2024,2203271,Municipal,48.34,22.86,31.38,41.37,52.12,62.69,72.16,80,1,98.65
2023,2203271,Municipal,16.1,22.86,31.38,41.37,52.12,62.69,72.16,80,0,97.37
2023,1703842,Municipal,16.2,22.91,31.43,41.42,52.16,62.71,72.17,80,0,91.36
2024,1703842,Municipal,38.52,22.91,31.43,41.42,52.16,62.71,72.17,80,0,88.62
2023,2928307,Municipal,,,31.5,41.48,52.21,62.74,72.19,80,,
2024,2928307,Municipal,22.95,,31.5,41.48,52.21,62.74,72.19,80,0,82.43
2023,2805208,Municipal,16.2,22.98,31.5,41.48,52.21,62.74,72.19,80,0,90.24
2024,2805208,Municipal,40.26,22.98,31.5,41.48,52.21,62.74,72.19,80,1,91.3
2024,2803609,Municipal,27.35,23.05,31.57,41.54,52.26,62.77,72.2,80,0,89.75
2023,2803609,Municipal,16.3,23.05,31.57,41.54,52.26,62.77,72.2,80,0,78.9
2023,2405504,Municipal,16.6,23.43,31.95,41.89,52.52,62.93,72.27,80,0,71.43
2024,2405504,Municipal,31.58,23.43,31.95,41.89,52.52,62.93,72.27,80,0,84.44
2024,1718865,Municipal,31.33,23.48,32.01,41.94,52.56,62.96,72.28,80,0,75.27
2023,1718865,Municipal,16.7,23.48,32.01,41.94,52.56,62.96,72.28,80,0,81.82
2023,2902252,Municipal,16.9,23.69,32.22,42.13,52.71,63.05,72.32,80,0,75.79
2024,2902252,Municipal,13.11,23.69,32.22,42.13,52.71,63.05,72.32,80,0,79.22
2023,2804904,Municipal,16.9,23.74,32.27,42.16,52.74,63.07,72.33,80,0,73.96
2024,2804904,Municipal,28.56,23.74,32.27,42.16,52.74,63.07,72.33,80,0,89.83
2023,2805406,Municipal,16.9,23.75,32.28,42.17,52.74,63.07,72.33,80,0,88.4
2024,2805406,Municipal,26.61,23.75,32.28,42.17,52.74,63.07,72.33,80,0,87.12
2023,2409803,Municipal,17,23.8,32.33,42.22,52.78,63.1,72.34,80,0,73.47
2024,2409803,Municipal,23.56,23.8,32.33,42.22,52.78,63.1,72.34,80,0,73.08
2023,1703909,Municipal,17,23.89,32.42,42.3,52.84,63.13,72.35,80,0,82.35
2024,1703909,Municipal,31.53,23.89,32.42,42.3,52.84,63.13,72.35,80,0,81.08
2023,2407609,Municipal,17.1,23.97,32.5,42.37,52.9,63.17,72.37,80,0,77.27
2024,2407609,Municipal,26.32,23.97,32.5,42.37,52.9,63.17,72.37,80,0,77.55
2023,2414704,Municipal,17.3,24.12,32.65,42.51,53,63.23,72.4,80,0,81.08
2024,2414704,Municipal,45.68,24.12,32.65,42.51,53,63.23,72.4,80,1,77.78
2023,2515609,Municipal,17.4,24.28,32.81,42.65,53.1,63.3,72.43,80,0,100
2024,2515609,Municipal,48.92,24.28,32.81,42.65,53.1,63.3,72.43,80,1,90.62
2023,2807303,Municipal,17.4,24.28,32.81,42.65,53.1,63.3,72.43,80,0,92
2024,2807303,Municipal,42.47,24.28,32.81,42.65,53.1,63.3,72.43,80,1,100
2023,1718709,Municipal,17.5,24.42,32.95,42.77,53.2,63.36,72.45,80,0,90.63
2024,1718709,Municipal,46.58,24.42,32.95,42.77,53.2,63.36,72.45,80,1,92.86
2023,1718659,Municipal,17.6,24.46,32.99,42.81,53.23,63.38,72.46,80,0,97.56
2024,1718659,Municipal,19.61,24.46,32.99,42.81,53.23,63.38,72.46,80,0,92.11
2023,2414209,Municipal,17.6,24.51,33.04,42.85,53.26,63.39,72.47,80,0,72.16
2024,2414209,Municipal,24.98,24.51,33.04,42.85,53.26,63.39,72.47,80,0,82.76
2023,2202174,Municipal,17.7,24.57,33.1,42.91,53.3,63.42,72.48,80,0,93.1
2024,2202174,Municipal,64.31,24.57,33.1,42.91,53.3,63.42,72.48,80,3,96.77
2023,2400505,Municipal,17.8,24.68,33.21,43,53.38,63.47,72.5,80,0,84.8
2024,2400505,Municipal,58.98,24.68,33.21,43,53.38,63.47,72.5,80,2,87.58
2024,2901908,Municipal,16.52,24.7,33.23,43.02,53.39,63.48,72.5,80,0,96.64
2023,2901908,Municipal,17.8,24.7,33.23,43.02,53.39,63.48,72.5,80,0,94.64
2023,1713957,Municipal,17.9,24.82,33.35,43.13,53.47,63.53,72.52,80,0,91.89
2024,1713957,Municipal,49.28,24.82,33.35,43.13,53.47,63.53,72.52,80,1,80
2023,2507002,Municipal,18,24.9,33.43,43.19,53.52,63.56,72.54,80,0,74.87
2024,2507002,Municipal,48.7,24.9,33.43,43.19,53.52,63.56,72.54,80,1,93.68
2024,1503754,Municipal,24.95,,33.52,43.28,53.59,63.6,72.55,80,0,81.3
2023,1503754,Municipal,,,33.52,43.28,53.59,63.6,72.55,80,,
2023,2412302,Municipal,18.1,25,33.52,43.28,53.59,63.6,72.55,80,0,70.24
2024,2412302,Municipal,49.42,25,33.52,43.28,53.59,63.6,72.55,80,1,73.81
2023,1718303,Municipal,18.1,25.02,33.54,43.3,53.6,63.61,72.56,80,0,76.81
2024,1718303,Municipal,38.49,25.02,33.54,43.3,53.6,63.61,72.56,80,0,90.7
2024,1713809,Municipal,49.53,25.06,33.59,43.34,53.63,63.62,72.57,80,1,89.13
2023,1713809,Municipal,18.1,25.06,33.59,43.34,53.63,63.62,72.57,80,0,80
2023,2910859,Municipal,18.3,25.25,33.77,43.5,53.75,63.7,72.6,80,0,84.97
2024,2910859,Municipal,36.76,25.25,33.77,43.5,53.75,63.7,72.6,80,0,93.79
2023,2516151,Municipal,18.5,25.43,33.95,43.66,53.87,63.77,72.63,80,0,92.68
2024,2516151,Municipal,66.62,25.43,33.95,43.66,53.87,63.77,72.63,80,3,93.22
2023,2926103,Municipal,18.5,25.46,33.98,43.68,53.89,63.79,72.64,80,0,91.54
2024,2926103,Municipal,23.58,25.46,33.98,43.68,53.89,63.79,72.64,80,0,98.4
2024,1505205,Municipal,31.03,25.53,34.05,43.74,53.94,63.81,72.65,80,0,79.36
2023,1505205,Municipal,18.5,25.53,34.05,43.74,53.94,63.81,72.65,80,0,83.66
2023,2919603,Municipal,18.6,25.55,34.07,43.76,53.95,63.82,72.65,80,0,90.67
2024,2919603,Municipal,30.14,25.55,34.07,43.76,53.95,63.82,72.65,80,0,95.42
2023,2906824,Municipal,18.9,25.86,34.38,44.03,54.15,63.95,72.71,80,0,87.23
2024,2906824,Municipal,30.13,25.86,34.38,44.03,54.15,63.95,72.71,80,0,96.89
2023,2931103,Municipal,18.9,25.95,34.46,44.1,54.21,63.98,72.72,80,0,92
2024,2931103,Municipal,30.67,25.95,34.46,44.1,54.21,63.98,72.72,80,0,96.15
2024,2804706,Municipal,58.77,26.18,34.69,44.3,54.36,64.08,72.76,80,2,98.36
2023,2804706,Municipal,19.2,26.18,34.69,44.3,54.36,64.08,72.76,80,0,85.45
2023,2802304,Municipal,19.2,26.27,34.77,44.38,54.42,64.11,72.77,80,0,81.25
2024,2802304,Municipal,37.21,26.27,34.77,44.38,54.42,64.11,72.77,80,0,93
2023,1712801,Municipal,19.3,26.36,34.87,44.46,54.48,64.15,72.79,80,0,94.87
2024,1712801,Municipal,20.67,26.36,34.87,44.46,54.48,64.15,72.79,80,0,95
2023,2400802,Municipal,19.3,26.39,34.89,44.47,54.49,64.16,72.79,80,0,79.52
2024,2400802,Municipal,51.81,26.39,34.89,44.47,54.49,64.16,72.79,80,2,78.12
2024,2803104,Municipal,33.65,26.4,34.9,44.48,54.5,64.16,72.8,80,0,83.33
2023,2803104,Municipal,19.4,26.4,34.9,44.48,54.5,64.16,72.8,80,0,93.94
2023,2415008,Municipal,19.4,26.43,34.93,44.51,54.52,64.17,72.8,80,0,88.46
2024,2415008,Municipal,39.06,26.43,34.93,44.51,54.52,64.17,72.8,80,0,80.65
2024,2802403,Municipal,36.4,26.47,34.97,44.55,54.55,64.19,72.81,80,0,94
2023,2802403,Municipal,19.4,26.47,34.97,44.55,54.55,64.19,72.81,80,0,90.35
2023,2409704,Municipal,19.5,26.54,35.03,44.6,54.59,64.22,72.82,80,0,85.71
2024,2409704,Municipal,21.89,26.54,35.03,44.6,54.59,64.22,72.82,80,0,92.59
2024,2204352,Municipal,53.59,26.56,35.05,44.62,54.6,64.22,72.82,80,2,91.49
2023,2204352,Municipal,19.5,26.56,35.05,44.62,54.6,64.22,72.82,80,0,93.75
2023,1200138,Municipal,,,35.2,44.74,54.69,64.28,72.85,80,,
2024,1200138,Municipal,26.69,,35.2,44.74,54.69,64.28,72.85,80,0,79.67
2023,2805703,Municipal,19.6,26.71,35.2,44.74,54.69,64.28,72.85,80,0,88.19
2024,2805703,Municipal,29.59,26.71,35.2,44.74,54.69,64.28,72.85,80,0,86.63
2023,2911105,Municipal,19.7,26.73,35.22,44.76,54.71,64.29,72.85,80,0,90
2024,2911105,Municipal,28.21,26.73,35.22,44.76,54.71,64.29,72.85,80,0,88.97
2024,2900306,Municipal,59.14,26.77,35.26,44.8,54.73,64.31,72.86,80,2,91.18
2023,2900306,Municipal,19.7,26.77,35.26,44.8,54.73,64.31,72.86,80,0,86.99
2023,2412807,Municipal,19.8,26.88,35.36,44.89,54.8,64.35,72.88,80,0,88.89
2024,2412807,Municipal,25.47,26.88,35.36,44.89,54.8,64.35,72.88,80,0,80.39
2024,2202059,Municipal,52.34,26.93,35.42,44.93,54.84,64.37,72.89,80,2,96.55
2023,2202059,Municipal,19.9,26.93,35.42,44.93,54.84,64.37,72.89,80,0,96.97
2023,2804805,Municipal,19.9,26.93,35.42,44.93,54.84,64.37,72.89,80,0,86.35
2024,2804805,Municipal,29.8,26.93,35.42,44.93,54.84,64.37,72.89,80,0,89.37
2023,2910602,Municipal,19.9,26.95,35.44,44.95,54.85,64.38,72.89,80,0,85.12
2024,2910602,Municipal,23.96,26.95,35.44,44.95,54.85,64.38,72.89,80,0,94.97
2024,2930105,Municipal,24.02,27.01,35.5,45,54.89,64.4,72.9,80,0,95.87
2023,2930105,Municipal,19.9,27.01,35.5,45,54.89,64.4,72.9,80,0,84.72
2023,2802601,Municipal,20,27.09,35.57,45.07,54.93,64.43,72.91,80,0,87.72
2024,2802601,Municipal,16.67,27.09,35.57,45.07,54.93,64.43,72.91,80,0,100
2024,2404002,Municipal,47.06,27.09,35.57,45.07,54.93,64.43,72.91,80,1,89.47
2024,2802502,Municipal,21.91,27.09,35.57,45.07,54.93,64.43,72.91,80,0,94.12
2023,2802502,Municipal,20,27.09,35.57,45.07,54.93,64.43,72.91,80,0,95.24
2023,2404002,Municipal,20,27.09,35.57,45.07,54.93,64.43,72.91,80,0,86.96
2023,2912608,Municipal,20.1,27.17,35.65,45.14,54.99,64.46,72.93,80,0,81.82
2024,2912608,Municipal,15.62,27.17,35.65,45.14,54.99,64.46,72.93,80,0,94.12
2024,2412906,Municipal,37.72,27.18,35.66,45.14,54.99,64.47,72.93,80,0,81.36
2023,2412906,Municipal,20.1,27.18,35.66,45.14,54.99,64.47,72.93,80,0,84.29
2023,3135209,Municipal,20.1,27.24,35.71,45.19,55.03,64.49,72.94,80,0,79.87
2024,3135209,Municipal,47.12,27.24,35.71,45.19,55.03,64.49,72.94,80,1,84.21
2023,2915403,Municipal,20.2,27.27,35.74,45.21,55.05,64.5,72.94,80,0,85.87
2024,2915403,Municipal,15.25,27.27,35.74,45.21,55.05,64.5,72.94,80,0,74.68
2024,2902104,Municipal,24.47,27.37,35.84,45.3,55.11,64.54,72.96,80,0,91.18
2023,2902104,Municipal,20.3,27.37,35.84,45.3,55.11,64.54,72.96,80,0,87.32
2023,2202653,Municipal,20.4,27.47,35.94,45.38,55.17,64.58,72.98,80,0,98.36
2024,2202653,Municipal,46.21,27.47,35.94,45.38,55.17,64.58,72.98,80,1,97.73
2024,2706109,Municipal,52.43,27.52,35.99,45.43,55.2,64.6,72.98,80,2,94.12
2023,2706109,Municipal,20.4,27.52,35.99,45.43,55.2,64.6,72.98,80,0,94.44
2023,2408607,Municipal,,,36.07,45.49,55.26,64.63,73,80,,
2024,2408607,Municipal,27.59,,36.07,45.49,55.26,64.63,73,80,0,89.74
2024,1703008,Municipal,19.17,27.6,36.07,45.49,55.26,64.63,73,80,0,81.93
2023,1703008,Municipal,20.5,27.6,36.07,45.49,55.26,64.63,73,80,0,85.22
2023,2403400,Municipal,20.5,27.64,36.1,45.52,55.28,64.64,73,80,0,85.19
2024,2403400,Municipal,59.19,27.64,36.1,45.52,55.28,64.64,73,80,2,81.03
2023,2924108,Municipal,20.7,27.85,36.3,45.69,55.41,64.72,73.04,80,0,92.68
2023,1718451,Municipal,20.7,27.85,36.3,45.69,55.41,64.72,73.04,80,0,87.88
2024,2924108,Municipal,13.33,27.85,36.3,45.69,55.41,64.72,73.04,80,0,93.75
2024,1718451,Municipal,40.91,27.85,36.3,45.69,55.41,64.72,73.04,80,1,88
2024,1711951,Municipal,15.09,27.88,36.33,45.72,55.42,64.73,73.04,80,0,98.11
2023,1711951,Municipal,20.8,27.88,36.33,45.72,55.42,64.73,73.04,80,0,87.32
2023,2508406,Municipal,20.8,27.9,36.35,45.74,55.44,64.74,73.05,80,0,97.06
2024,2508406,Municipal,82.76,27.9,36.35,45.74,55.44,64.74,73.05,80,5,100
2023,2414308,Municipal,20.8,27.96,36.41,45.79,55.48,64.76,73.06,80,0,92.31
2024,2414308,Municipal,40,27.96,36.41,45.79,55.48,64.76,73.06,80,1,100
2023,1718907,Municipal,20.9,27.99,36.44,45.81,55.5,64.78,73.06,80,0,94.2
2024,1718907,Municipal,36.92,27.99,36.44,45.81,55.5,64.78,73.06,80,0,89.29
2023,2915353,Municipal,20.9,28.02,36.47,45.84,55.51,64.79,73.07,80,0,92.37
2024,2915353,Municipal,32.8,28.02,36.47,45.84,55.51,64.79,73.07,80,0,96.9
2024,1302801,Municipal,48.41,28.09,36.53,45.89,55.55,64.81,73.08,80,1,81.97
2023,1302801,Municipal,21,28.09,36.53,45.89,55.55,64.81,73.08,80,0,83.96
2024,2900405,Municipal,30.43,28.14,36.58,45.93,55.59,64.83,73.09,80,0,93.24
2023,2900405,Municipal,21,28.14,36.58,45.93,55.59,64.83,73.09,80,0,81.32
2023,2927507,Municipal,21,28.15,36.59,45.94,55.59,64.84,73.09,80,0,74.04
2024,2927507,Municipal,31.58,28.15,36.59,45.94,55.59,64.84,73.09,80,0,92.36
2024,2923704,Municipal,24.46,28.27,36.71,46.05,55.67,64.88,73.11,80,0,89.62
2023,2923704,Municipal,21.1,28.27,36.71,46.05,55.67,64.88,73.11,80,0,83.11
2023,2920809,Municipal,21.2,28.29,36.73,46.06,55.68,64.89,73.11,80,0,86.76
2024,2920809,Municipal,18.57,28.29,36.73,46.06,55.68,64.89,73.11,80,0,88.61
2024,2804409,Municipal,25.49,28.33,36.76,46.09,55.7,64.9,73.12,80,0,100
2023,2804409,Municipal,21.2,28.33,36.76,46.09,55.7,64.9,73.12,80,0,89.01
2024,2925600,Municipal,20,28.43,36.86,46.17,55.76,64.94,73.13,80,0,95.24
2023,2925600,Municipal,21.3,28.43,36.86,46.17,55.76,64.94,73.13,80,0,89.26
2024,2905503,Municipal,28.19,28.45,36.88,46.19,55.78,64.95,73.14,80,0,96.13
2023,2905503,Municipal,21.3,28.45,36.88,46.19,55.78,64.95,73.14,80,0,82.35
2023,2932457,Municipal,21.3,28.46,36.89,46.2,55.78,64.95,73.14,80,0,86.59
2024,1718550,Municipal,54.32,28.46,36.89,46.2,55.78,64.95,73.14,80,2,91.07
2024,2932457,Municipal,22.95,28.46,36.89,46.2,55.78,64.95,73.14,80,0,92.42
2023,1718550,Municipal,21.3,28.46,36.89,46.2,55.78,64.95,73.14,80,0,85.25
2023,2411205,Municipal,21.4,28.5,36.93,46.23,55.81,64.97,73.14,80,0,78.41
2024,2411205,Municipal,32.73,28.5,36.93,46.23,55.81,64.97,73.14,80,0,81.44
2024,2804003,Municipal,31.19,28.54,36.97,46.27,55.83,64.98,73.15,80,0,91.79
2023,2804003,Municipal,21.4,28.54,36.97,46.27,55.83,64.98,73.15,80,0,86.5
2024,2800209,Municipal,20.53,28.59,37.01,46.3,55.86,65,73.16,80,0,88.78
2023,2800209,Municipal,21.4,28.59,37.01,46.3,55.86,65,73.16,80,0,85.71
2023,2905305,Municipal,21.6,28.79,37.2,46.47,55.98,65.08,73.19,80,0,82.63
2024,2905305,Municipal,30.37,28.79,37.2,46.47,55.98,65.08,73.19,80,0,75.84
2023,2205557,Municipal,21.7,28.81,37.22,46.48,55.99,65.08,73.19,80,0,91.89
2024,2205557,Municipal,58.86,28.81,37.22,46.48,55.99,65.08,73.19,80,2,96.91
2024,2411403,Municipal,51.92,28.87,37.27,46.53,56.03,65.1,73.2,80,2,84
2023,2411403,Municipal,21.7,28.87,37.27,46.53,56.03,65.1,73.2,80,0,85.07
2024,2902203,Municipal,17.95,28.9,37.3,46.55,56.04,65.11,73.21,80,0,89.66
2023,2902203,Municipal,21.7,28.9,37.3,46.55,56.04,65.11,73.21,80,0,88.89
2023,2501401,Municipal,21.7,28.9,37.3,46.55,56.04,65.11,73.21,80,0,90.68
2024,2501401,Municipal,44.76,28.9,37.3,46.55,56.04,65.11,73.21,80,1,94.87
2024,2206753,Municipal,95.24,28.91,37.31,46.56,56.05,65.12,73.21,80,5,100
2023,2206753,Municipal,21.7,28.91,37.31,46.56,56.05,65.12,73.21,80,0,95.83
2024,2923050,Municipal,39.06,28.92,37.32,46.57,56.06,65.12,73.21,80,0,94.12
2023,2923050,Municipal,21.8,28.92,37.32,46.57,56.06,65.12,73.21,80,0,86.89
2024,1503408,Municipal,45.41,29,37.4,46.64,56.11,65.15,73.22,80,1,82.35
2023,1503408,Municipal,21.8,29,37.4,46.64,56.11,65.15,73.22,80,0,84.38
